Description	
Number of Runs	150
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	445
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	445	4	10	10/16/19 05:37:23 PM	
131	445	1	10	10/16/19 05:37:33 PM	
132	445	9	10	10/16/19 05:37:43 PM	
133	445	7	10	10/16/19 05:37:53 PM	
134	445	0	10	10/16/19 05:38:04 PM	
135	445	2	10	10/16/19 05:38:14 PM	
136	445	11	10	10/16/19 05:38:24 PM	
137	445	2	10	10/16/19 05:38:34 PM	
138	445	5	10	10/16/19 05:38:45 PM	
139	445	2	10	10/16/19 05:38:55 PM	
140	445	2	10	10/16/19 05:39:05 PM	
141	445	4	10	10/16/19 05:39:15 PM	
142	445	7	10	10/16/19 05:39:26 PM	
143	445	4	10	10/16/19 05:39:36 PM	
144	445	4	10	10/16/19 05:39:46 PM	
145	445	5	10	10/16/19 05:39:56 PM	
146	445	3	10	10/16/19 05:40:06 PM	
147	445	0	10	10/16/19 05:40:17 PM	
148	445	7	10	10/16/19 05:40:27 PM	
149	445	3	10	10/16/19 05:40:37 PM	
150	445	6	10	10/16/19 05:40:47 PM	
